"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
幼稚園WARS,ダグ,chara_you_00201,DropSR,緑,テクニカル,中距離,shageki_1,shageki_1,202602010_幼稚園WARS,幼稚園WARS いいジャン祭,※,540,600,中コスト,-85,15.0,10.0,11.0,355,7.1,0.0,0.0,0.0,235,4.7,1.0,0.00,0.0,1120,22.4,0.0,12.5,0.0,6.7,15.7,1,970,"6,705",6.5,3.2,1620,-0.30,0.00,-0.10,0.00,0.00,0.00,,1790,"12,374",1190,"8,249",-,#VALUE!,#VALUE!,1190,1080,0.00,0.10,0.00,0.00,0.00,0.00,75,75,0.0,1.5,(中距離)素手・武器・道具,3,35,0.36,0,普通,攻撃DOWNコマ無効化,-,2,-,-,-,中距離,単体,1,0.37,中距離,範囲(小),0.75,0.47,,,,22.4,-,-,-,,連続攻撃,安定型,敵,All,All,129,-,"15,962",773,"3,866",攻撃力Down,13.00,6.7,安定型,-,-,-,-
君のことが大大大大大好きな100人の彼女,溢れる母性 花園 羽々里,chara_kim_00001,PremiumUR,青,ディフェンス,近距離,dageki_1,dageki_1,202602020_100カノ,君のことが大大大大大好きな100人の彼女 いいジャン祭,※,935,1000,高コスト,-130,15.0,50.0,20.9,1680,33.6,0.0,0.0,0.0,920,18.4,-1.00,0.00,0.0,1815,36.3,0.0,16.0,-2.3,-,-,1,5060,"41,356",33.7,16.9,2810,0.90,0.00,0.10,-0.20,0.00,0.00,,2980,"24,355",850,"6,959",-,#VALUE!,#VALUE!,850,1870,0.20,-0.50,0.00,0.00,0.00,0.00,175,100,75.0,3.5,(近距離)武器・道具・特殊攻撃,1,35,0.21,0,普通,体力条件強化(以上/被ダメカット),HP50/35,0,根性,1,4,近距離,範囲(中),0.65,0.42,近距離,範囲(大),0.55,0.52,,,,36.3,-,-,-,,連続攻撃,-,敵,All,All,124,-,"30,200",874,"4,372",ノックバック,2.00,-,-,-,-,-,-
君のことが大大大大大好きな100人の彼女,花園 羽香里,chara_kim_00101,PremiumSSR,緑,アタック,近距離,dageki_1,dageki_1,202602020_100カノ,君のことが大大大大大好きな100人の彼女 いいジャン祭,※,725,600,中コスト,100,15.0,10.0,15.6,720,14.4,0.0,0.0,0.0,375,7.5,0.0,0.00,0.0,635,12.7,0.0,0.0,-1.4,-,-,1,1960,"14,945",13.1,6.5,2180,-0.20,0.00,0.10,0.00,0.00,0.00,,2180,"16,622",2180,"16,622",-,#VALUE!,#VALUE!,2180,1450,0.00,0.30,0.00,0.00,0.00,0.20,50,50,0.0,1.0,(近距離)素手,2,35,0.24,0,普通,突風コマ無効化,-,0,-,-,-,近距離,単体,1,0.25,近距離,範囲(小),0.75,0.35,,,,12.7,-,-,-,,連続攻撃,-,敵,All,All,105,-,"17,453","1,438","7,189",キラー攻撃(黄),215.25,-,-,-,-,-,-
君のことが大大大大大好きな100人の彼女,院田 唐音,chara_kim_00201,PremiumSSR,赤,テクニカル,近距離,dageki_1,dageki_1,202602020_100カノ,君のことが大大大大大好きな100人の彼女 いいジャン祭,※,630,600,中コスト,0,20.0,10.0,13.3,380,7.6,0.0,0.0,0.0,200,4.0,0.0,0.00,0.0,1585,31.7,0.0,22.5,-1.0,15.0,16.7,1,1040,"7,929",6.9,3.5,1890,-0.30,-0.10,0.10,-0.15,0.00,0.00,,1950,"14,868",1950,"14,868",-,#VALUE!,#VALUE!,1950,1260,0.15,0.10,0.00,0.00,0.10,0.20,50,50,0.0,1.0,(近距離)素手,3,35,0.26,0,普通,攻撃DOWNコマ無効化,-,0,-,-,-,近距離,単体,1,0.27,近距離,範囲(中),0.65,0.47,,,,31.7,-,-,-,,攻撃(必殺),-,敵,All,All,117,-,"17,395",601,"3,005",攻撃力Down,10.00,15,-,-,-,-,-
君のことが大大大大大好きな100人の彼女,好本 静,chara_kim_00301,PremiumSSR,黄,サポート,中距離,dageki_1,-,202602020_100カノ,君のことが大大大大大好きな100人の彼女 いいジャン祭,※,460,600,中コスト,-160,10.0,10.0,9.0,330,6.6,0.0,0.0,0.0,175,3.5,0.0,0.00,0.0,1225,24.5,0.0,15.0,0.0,10.0,14.5,1,900,"6,863",6.0,3.0,1380,-0.40,0.15,-0.10,0.00,0.00,0.00,,920,"7,015",510,"3,897","4,365",#VALUE!,#VALUE!,510,920,0.00,-0.30,0.00,0.00,-0.15,0.00,90,90,0.0,1.8,(中距離)素手・武器・道具,2,30,0.37,0,普通-遅い,攻撃DOWNコマ無効化,-,0,-,-,-,中距離,単体,1,0.38,自身と１つ先のコマにいる味方,"範囲(コマ)0,+1",0.6,"(コマ)0,+1",,,,24.5,-,-,-,,攻撃力UP,持続型,味方,黄,All,12,10.0,-,0,0,-,-,-,-,-,-,-,-
ふつうの軽音部,ひたむきギタリスト 鳩野 ちひろ,chara_hut_00001,PremiumUR,緑,ディフェンス,近距離,dageki_1,dageki_1,999999999_リリースキー未定,ふつうの軽音部 いいジャン祭,※,850,1000,高コスト,-230,30.0,50.0,18.8,1615,32.3,0.0,0.0,0.0,905,18.1,0.0,0.00,0.0,1625,32.5,0.0,15.0,-4.4,0.0,32.5,1,4720,"38,577",31.5,15.7,2550,0.90,0.00,0.10,-0.25,0.10,0.0,,2880,"23,538",960,"7,846","9,023",#VALUE!,#VALUE!,960,1700,0.25,-0.50,0.00,0.00,0.00,0.00,150,100,50.0,3.0,(近距離)武器・道具・特殊攻撃,1,40,0.21,0,普通-速い,体力条件強化(以上/攻撃),HP30/25,0,根性,1,4,近距離,範囲(小),0.75,0.32,近距離,範囲(中),0.65,0.42,,,,32.5,-,-,-,,攻撃(必殺),-,敵,All,All,130,-,"30,599",987,"4,933",ノックバック,2.00,-,-,-,-,-,-
姫様“拷問”の時間です,マオマオちゃん,chara_gom_00401,PremiumSSR,無,スペシャル,※ID管理未記入,-,※ID管理未記入,999999999_リリースキー未定,姫様“拷問”の時間ですいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.0,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,雨宮 吾郎,chara_osh_00701,DropSR,無,スペシャル,※ID管理未記入,-,※ID管理未記入,999999999_リリースキー未定,メダルガシャ追加時,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.0,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,斉藤 ミヤコ,chara_osh_00801,PremiumSSR,無,スペシャル,※ID管理未記入,-,※ID管理未記入,999999999_リリースキー未定,ハーフアニバーサリー,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.0,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,万物を統べる総組長 山城 恋,chara_sur_00901,FestivalUR,青,アタック,中距離,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,ストックキャラ,※,350,200,低コスト,60,10.0,80.0,6.3,615,12.3,6.0,0.0,0.0,715,14.3,11.0,0.00,0.0,2285,45.7,12.4,24.0,0.0,-,-,0,860,"7,169",5.7,2.9,1050,-0.20,0.00,-0.10,0.65,0.0,-0.53,,620,"5,168",620,"5,168",-,621,"5,169",620,700,-0.65,0.30,0.00,0.23,0.00,0.00,50,75,-25.0,1.0,(中距離)特殊攻撃・投げ物・長物,1,70,0.39,0,とても速い,体力条件強化(以下/攻撃),HP80/20,0,体力条件強化(以下/攻撃),HP30/80,4,中距離,単体,1,0.4,中距離,範囲(大),0.55,0.7,,,,45.7,根性,1,6,,攻撃(必殺),-,敵,All,All,1000,-,"51,684","1,214","6,070",無敵,-,8,※特殊調整,自身,自身のみ,自身,-
2.5次元の誘惑,(仮)753♡(魔女コスプレ),chara_yuw_00502,PremiumUR,黄,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,不明,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
2.5次元の誘惑,(仮)天乃 リリサ(クリスマス),chara_yuw_00002,PremiumUR,緑,サポート,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,不明,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
姫様“拷問”の時間です,陽鬼,chara_gom_00501,DropSR,緑,アタック,遠距離,shageki_1,shageki_1,999999999_リリースキー未定,姫様“拷問”の時間ですいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,-0.30,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,150,150,0.0,3.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,遠距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
SPY×FAMILY,(仮)アーニャ（ドレスアップ）,chara_spy_00002,FestivalSSR,無,スペシャル,※ID管理未記入,-,-,999999999_リリースキー未定,1周年,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ダンダダン,(仮)星子,chara_dan_00601,PremiumUR,黄,サポート,近距離,dageki_1,-,999999999_リリースキー未定,ハーフアニバーサリー,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.10,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.10,75,75,0.0,1.5,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,近距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
姫様“拷問”の時間です,悪のカリスマ 魔王ゴッドサンダー,chara_gom_00301,PremiumUR,赤,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,姫様“拷問”の時間ですいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.10,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
チェンソーマン,(仮)マキマ,chara_chi_00401,PremiumUR,調整中,調整中,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,チェンソーマンいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ふつうの軽音部,内田 桃,chara_hut_00201,DropSR,黄,テクニカル,遠距離,dageki_1,dageki_1,999999999_リリースキー未定,ふつうの軽音部 いいジャン祭,※,620,600,中コスト,-15.0,25.0,10.0,13.0,270,5.4,0.0,0.0,0.0,240,4.8,2.0,0.00,0.0,1975,39.5,21.0,11.6,-1.7,1.0,38.5,1,740,"5,115",4.9,2.5,1860,-0.30,-1.00,-0.30,1.00,0.00,0.00,,4080,"28,205",1360,"9,402",-,#VALUE!,#VALUE!,1360,1240,-1.00,0.10,0.00,0.00,1.00,0.00,150,150,0.0,3.0,(遠距離)攻撃を飛ばす系,3,35,0.61,0,普通,ダメージコマ無効化,-,2,,※特性を選択!!(BW列),-,遠距離,単体,1,0.62,遠距離,範囲(小：威力減),0.5,0.72,,,,39.5,-,-,-,,連続攻撃,-,敵,All,All,87,-,"24,539",680,"3,401",スタン,-,1,-,-,-,-,-
チェンソーマン,(仮)姫野,chara_chi_00501,PremiumSSR,調整中,調整中,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,チェンソーマンいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
チェンソーマン,(仮)沢渡 アカネ,chara_chi_00701,DropSR,調整中,調整中,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,チェンソーマンいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
チェンソーマン,(仮)小紅,chara_chi_00601,DropSR,調整中,調整中,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,チェンソーマンいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
チェンソーマン,(仮)サムライソード,chara_chi_00801,DropSR,調整中,調整中,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,チェンソーマンいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ダンダダン,(仮)坂田 金太,chara_dan_00501,DropSSR,青,ディフェンス,近距離,dageki_2,dageki_1,999999999_リリースキー未定,不明：メダルガシャ追加時,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.10,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,近距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
姫様“拷問”の時間です,カナッジ,chara_gom_00701,DropSR,赤,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,999999999_リリースキー未定,姫様“拷問”の時間ですいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
姫様“拷問”の時間です,陰鬼,chara_gom_00601,DropSR,赤,テクニカル,近距離,dageki_2,dageki_2,999999999_リリースキー未定,姫様“拷問”の時間ですいいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.10,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.20,50,50,0.0,1.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,近距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ふつうの軽音部,幸山 厘,chara_hut_00101,PremiumSSR,青,サポート,中距離,dageki_1,dageki_1,999999999_リリースキー未定,ふつうの軽音部 いいジャン祭,※,560,600,中コスト,-80,25.0,15.0,11.5,280,5.6,0.0,-0.6,0.0,145,2.9,0.0,-0.28,0.0,1500,30.0,2.1,18.7,0.0,10.0,20.0,1,840,"6,404",5.6,2.8,1680,-0.40,0.00,-0.10,0.00,0.00,0.00,,1400,"10,675",780,"5,930","6,642",#VALUE!,#VALUE!,780,1120,0.00,-0.30,0.00,0.00,0.00,0.00,90,90,0.0,1.8,(中距離)特殊攻撃・投げ物・長物,2,35,0.42,0,普通,毒ダメージ軽減,40,0,-,-,-,中距離,単体,1,0.43,中距離,範囲(中),0.65,0.63,,,,30.0,-,-,-,,連続攻撃,-,敵,All,All,130,-,"13,877",509,"2,543",攻撃力UP(青),12,10.0,-,-,-,-,-
ふつうの軽音部,藤井 彩目,chara_hut_00301,DropSR,赤,アタック,中距離,dageki_1,dageki_1,999999999_リリースキー未定,ふつうの軽音部 いいジャン祭,※,700,600,中コスト,75,15.0,10.0,15.0,525,10.5,0.0,0.0,0.0,200,4.0,-1.00,-0.48,0.0,970,19.4,1.40,6.0,0.0,-,-,1,1430,"9,885",9.5,4.8,2100,-0.20,-0.02,-0.10,0.00,0.00,0.00,,3980,"27,513",1990,"13,757",-,#VALUE!,#VALUE!,1990,1400,0.00,0.30,0.10,0.00,0.02,0.00,100,75,25.0,2.0,(中距離)特殊攻撃・投げ物・長物,2,35,0.39,0,普通,ダメージコマ無効化,-,2,-,-,-,中距離,単体,1,0.4,中距離,範囲(中),0.65,0.6,,,,19.4,-,-,-,,連続攻撃,-,敵,All,All,112,-,"30,815","1,724","8,621",ノックバック,1.00,-,-,-,-,-,-
ルリドラゴン,監修NG,chara_rur_00001,PremiumUR,青,テクニカル,※ID管理未記入,※ID管理未記入,※ID管理未記入,オミット,ハーフアニバーサリー,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
