そのまま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脳死で元の関数を引っ張っただけ。元の関数が終点に対して曲げる関数なので正しい使い方ではないが、これまでの上昇傾向と同じにはなっている(ただし、どこかのタイミングで急激に上昇し始めてしまう),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
→こっちでいくになった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索詳細設計,,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,※獲得時、少数以下は切り捨てます。　,,,,,,,,,,,,,,探索画面表示,※少数第3位まで表示されます,,,,,,,,
,,15-4,72.000,31.465,21.442,コア,57,70,21.442,,,70,21.442,0.370,,,,,,3087.00,,,,,,,,,,,,,,
,,15-5,73.000,32.108,21.813,コア,58,71,21.813,,,71,21.813,0.371,,,,,,3141.00,,,,,,,,,,,,,,
,,15-6,74.000,32.755,22.185,コア,59,72,22.185,,,72,22.185,0.372,,,,,,3194.00,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト4",16-1,75.000,33.407,22.559,コア,59,73,22.559,,,73,22.559,0.374,,,,,,3248.00,,,,,,,,,,,,,,
,,16-2,76.000,34.064,22.934,コア,59,74,22.934,,,74,22.934,0.375,,,,,,3302.00,,,,,,,,,,,,,,
,,16-3,77.000,34.725,24.310,コア,59,,24.310,1.376,,75,24.310,1.376,,,,,,3500.00,,,,,,,,,,,,,,
,【推しの子】,17-1,78.000,2.051,24.492,コア,59,2,24.492,,,76,24.492,0.182,7.22,,,,,3526.00,,,,,,,,,,,,,,
,,17-2,79.000,2.145,24.743,コア,59,3,24.743,,,77,24.743,0.251,,,,,,3562.00,,,,,,,,,,,,,,
,,17-3,80.000,2.267,25.029,コア,59,4,25.029,,,78,25.029,0.286,,,,,,3604.00,,,,,,,,,,,,,,
,,,,2.411,25.341,1,1,5,25.341,,,79,25.341,0.312,,,,,,3649.00,,,,,,,,,,,,,,
,,,,2.575,25.672,,2,6,25.672,,,80,25.672,0.331,,,,,,3696.00,,,,,,,,,,,,,,
,,,,2.756,26.021,,3,7,26.021,,,81,26.021,0.349,,,,,,3747.00,,,,,,,,,,,,,,
,,,,2.952,26.385,2,1,8,26.385,,,82,26.385,0.364,,,,,,3799.00,,,,,,,,,,,,,,
,,,,3.163,26.762,,2,9,26.762,,,83,26.762,0.377,,,,,,3853.00,,,,,,,,,,,,,,
,,,,3.388,27.151,,3,10,27.151,,,84,27.151,0.389,,,,,,3909.00,,,,,,,,,,,,,,
,,,,3.626,27.550,3,1,11,27.550,,,85,27.550,0.399,,,,,,3967.00,,,,,,,,,,,,,,
,,,,3.876,27.960,,2,12,27.960,,,86,27.960,0.410,,,,,,4026.00,,,,,,,,,,,,,,
,,,,4.137,28.380,,3,13,28.380,,,87,28.380,0.420,,,,,,4086.00,,,,,,,,,,,,,,
,,,,4.410,28.808,4,1,14,28.808,,,88,28.808,0.428,,,,,,4148.00,,,,,,,,,,,,,,
,,,,4.693,29.245,,2,15,29.245,,,89,29.245,0.437,,,,,,4211.00,,,,,,,,,,,,,,
,,,,4.987,29.689,,3,16,29.689,,,90,29.689,0.444,,,,,,4275.00,,,,,,,,,,,,,,
,,,,5.290,30.141,5,1,17,30.141,,,91,30.141,0.452,,,,,,4340.00,,,,,,,,,,,,,,
,,,,5.603,30.600,,2,18,30.600,,,92,30.600,0.459,,,,,,4406.00,,,,,,,,,,,,,,
,,,,5.926,31.256,,3,19,31.256,,,93,31.256,0.656,,,,,,4500.00,,,,,,,,,,,,,,
,,,,48.106,32.063,,,94,32.063,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.852,32.462,,,95,32.462,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.601,32.863,,,96,32.863,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.355,33.265,,,97,33.265,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.112,33.667,,,98,33.667,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.874,34.071,,,99,34.071,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.639,34.476,,,100,34.476,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.408,34.882,,,101,34.882,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.181,35.289,,,102,35.289,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.958,35.696,,,103,35.696,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.739,36.105,,,104,36.105,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.523,36.515,,,105,36.515,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.312,36.926,,,106,36.926,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.104,37.338,,,107,37.338,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.899,37.750,,,108,37.750,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.699,38.164,,,109,38.164,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.502,38.579,,,110,38.579,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.309,38.995,,,111,38.995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.120,39.411,,,112,39.411,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.934,39.829,,,113,39.829,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.752,40.247,,,114,40.247,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.573,40.666,,,115,40.666,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.398,41.087,,,116,41.087,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.227,41.508,,,117,41.508,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.060,41.930,,,118,41.930,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.895,42.353,,,119,42.353,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.735,42.777,,,120,42.777,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.578,43.202,,,121,43.202,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.424,43.628,,,122,43.628,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.274,44.054,,,123,44.054,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.128,44.482,,,124,44.482,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.985,44.910,,,125,44.910,,,,,,,,,,,,,,,,,,,,,,,,,
