作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ,ラベル,属性,キャラ立ち位置,ロール,通常攻撃モーション,攻撃射程,必殺ワザモーション,必殺ワザ発動有無,通常攻撃モーション,通常攻撃発生,必殺攻撃モーション,必殺攻撃発生,valid_start_date,valid_end_date,catch_copy_image_filename,ノーマル敵専用アイコン_ID,BOSS専用アイコン_ID,通常攻撃Asset,必殺ワザAsset
kim,君のことが大大大大大好きな100人の彼女,00001,enemy_kim_00001,愛城 恋太郎,愛城 恋太郎,ー,,,,enemy,アタック,,,,,1.27,stop有:0.2,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_kim_00001.png,enemy_icon_enemy_kim_00001,boss_icon_enemy_kim_00001,,
kim,君のことが大大大大大好きな100人の彼女,00101,enemy_kim_00101,学生A（男）,,ー,,,,enemy,アタック,,,,,,,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_kim_00101.png,enemy_icon_enemy_kim_00101,boss_icon_enemy_kim_00101,,
hut,ふつうの軽音部,00001,enemy_hut_00001,鷹見 項希,鷹見 項希,ー,,,,enemy,アタック,,,,,1.37,stop有:0.51,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_hut_00001.png,enemy_icon_enemy_hut_00001,boss_icon_enemy_hut_00001,,
hut,ふつうの軽音部,00101,enemy_hut_00101,学生B,学生A,ー,,,,enemy,アタック,,,,,1.28,stop有:0.25,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_hut_00101.png,enemy_icon_enemy_hut_00101,boss_icon_enemy_hut_00101,,
aya,あやかしトライアングル,00001,enemy_aya_00001,シロガネ,シロガネ,ー,,,,enemy,アタック,,,,,,stop有:0.63,-,-,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_enemy_aya_00001.png,enemy_icon_enemy_aya_00001,boss_icon_enemy_aya_00001,,
mar,マリッジトキシン,00001,enemy_mar_00001,水使い,水使い 潮,ー,,,,enemy,アタック,dageki_1,,,,1.22,"stop無:1回目 0.28
stop無:2回目 0.46
stop無:3回目 0.66
stop有:4回目 0.76",-,-,2026/05/上旬マリッジトキシン,2970-01-01 11:59:59,catchcopy_character_enemy_mar_00001.png,enemy_icon_enemy_mar_00001,boss_icon_enemy_mar_00001,,
mad,MAD,00001,enemy_mad_00001,エイリアン,,,,,,enemy,アタック,,,,,1.63,stop有:0.7,-,-,26/06上旬MAD,2970-01-01 11:59:59,catchcopy_character_enemy_mad_00001.png,enemy_icon_enemy_mad_00001,boss_icon_enemy_mad_00001,,
syu,終末のハーレム,00001,enemy_syu_00001,水原 怜人,,,,,,enemy,アタック,,,,,1.57,stop有:0.58,,,26/06中旬ジュンブラ,2970-01-01 11:59:59,catchcopy_character_enemy_syu_00001.png,enemy_icon_enemy_syu_00001,boss_icon_enemy_syu_00001,,
aft,終末のハーレム After World,00001,enemy_aft_00001,金村 陸,,,,,,enemy,アタック,,,,,1.57,stop有:0.41,,,26/06中旬ジュンブラ,2970-01-01 11:59:59,catchcopy_character_enemy_aft_00001.png,enemy_icon_enemy_aft_00001,boss_icon_enemy_aft_00001,,
kut,口が裂けても君には,00001,enemy_kut_00001,茶乃 紅一,,,,,,enemy,ディフェンス,,,,,1.55,stop有:0.55,,,26/06中旬ジュンブラ,2970-01-01 11:59:59,catchcopy_character_enemy_kut_00001.png,enemy_icon_enemy_kut_00001,boss_icon_enemy_kut_00001,,
kai,怪獣８号,00002,enemy_kai_00002,本獣(8巻ver.),,,,,,enemy,アタック,,,,,,,,,26/07上旬怪獣8号,2970-01-01 11:59:59,catchcopy_character_enemy_kai_00002.png,enemy_icon_enemy_kai_00002,boss_icon_enemy_kai_00002,,
kai,怪獣８号,00501,enemy_kai_00501,怪獣9号(差分),,,,,,enemy,アタック,,,,,,,,,26/07上旬怪獣8号,2970-01-01 11:59:59,catchcopy_character_enemy_kai_00501.png,enemy_icon_enemy_kai_00501,boss_icon_enemy_kai_00501,,
osh,【推しの子】,00001,enemy_osh_00001,姫川 大輝 (東京ブレイド編ver.),,,,,,enemy,,,,,,,,,,,,,,,,
osh,【推しの子】,00101,enemy_osh_00101,鳴嶋 メルト (東京ブレイド編ver.),,,,,,enemy,,,,,,,,,,,,,,,,
osh,【推しの子】,00201,enemy_osh_00201,鴨志田 朔夜 (東京ブレイド編ver.),,,,,,enemy,,,,,,,,,,,,,,,,
eiu,英雄機関,00001,enemy_eiu_00001,星獣,選定中,,,,,enemy,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
glo,GLOW,00001,enemy_glo_00001,ファントム,ファントム,ー,,,,enemy,アタック,dageki_1,,,00001,1.00,0.50,,,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_glo_00001.png,enemy_icon_enemy_glo_00001,boss_icon_enemy_glo_00001,enemy_glo_00001_normal,enemy_glo_00001_special
glo,GLOW,00002,enemy_glo_00002,サイリウム持ちファントム,推し活ファントム,ー,,,,enemy,アタック,dageki_1,,,00002,1.17,stop有:1回目 0.6,,,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_glo_00002.png,enemy_icon_enemy_glo_00002,boss_icon_enemy_glo_00002,,
glo,GLOW,00003,enemy_glo_00003,バッターファントム,,,,,,enemy,,,,,,1.57,stop有:1回目 0.68,,,,,,,,,
glo,GLOW,00004,enemy_glo_00004,ピッチャーファントム,,,,,,enemy,,,,,,1.6,stop有:1回目 0.7,,,,,,,,,
glo,GLOW,00005,enemy_glo_00005,野球帽ファントム,,,,,,enemy,,,,,,1.57,stop有:1回目 0.6,-,-,,,,,,,
glo,GLOW,00006,enemy_glo_00006,ジューンブライドファントム,,,,,,enemy,,,,,,1.17,stop有:1回目 0.6,-,-,,,,,,,
glo,GLOW,00007,enemy_glo_00007,黒服ファントム,,,,,,enemy,,,,,,,,,,,,,,,,
glo,GLOW,00101,enemy_glo_00101,中ボスエネミー,ボスファントム,ー,,,,enemy,アタック,-,,,00101,1.17,stop有:1回目 0.56,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_glo_00101.png,enemy_icon_enemy_glo_00101,boss_icon_enemy_glo_00101,,
glo,GLOW,00901,enemy_glo_00901,宝箱,宝箱,ー,,,無,enemy,アタック,-,,,00901,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_glo_00901.png,enemy_icon_enemy_glo_00901,boss_icon_enemy_glo_00901,,
,,,,,,,,,無,,アタック,,,,,,,,,,,,,,,
